policy_name,plan_number,uin_number,category,features_benefits,eligibility_age,eligibility_income,medical_examination,premium_options,maturity_benefits,surrender_clause,tax_benefits,terms_conditions,riders_available,pdf_sources,data_completeness_score,source_url,scraped_timestamp
LICs Accident Benefit Rider,,512B203V03,Insurance_Plans,"Age is the age nearer birthday of the Life Assured at the time of commencement of this Rider except for age 18 yrs for which | Base Policy refers to the Policy to which this Rider Document is attached | Date of commencement of LICs Accident Benefit Rider is the start date of this Rider | Date of commencement of risk for Rider is the date on which the Corporation accepts the risk for insurance (cover) for the | Life Assured is the person on whose life the insurance cover has been accepted for the Base Policy along with this Rider | Proposer is a person who proposes the life insurance proposal for the Base Policy along with this Rider | Rider means the insurance cover(s) added to a Base Policy for additional premium or charge | Rider Term is the period, in years, as chosen by the policyholder and mentioned in the Schedule, commencing from the Date | Schedule is the part of this Rider document that gives the specific details of your Rider | Accident Benefit Rider Premium is the premium payable by the policyholder along with the premium under Base Policy",18-65 years,,Required,Regular,No maturity benefit is payable under this Rider | No maturity benefit is payable under this Rider,of the Base Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"As per Base Policy 4 | During the Free Look period, if the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement along with Base Policy document may be returned to the Corporati | If the Life assured is involved in an accident at any time when this Rider is in-force and such injury shall within 180 days of its occurrence solely, directly and independently of all other causes r | payable under this Rider | of the Base Policy and in calculating the surrender value of the Base Policy | The Corporation shall not be liable to pay the benefits as specified in Condition 1 | is not applicable if the Life Assured was involved in an accident when he is not on duty or was involved in any rescue operations while combating natural calamities in our country; or b) arise fr | is not applicable where the option to cover Accident Benefit arising on accident while engaged in police duty, has been chosen; or (v) occur after 180 days from the date of accident of the Life As",512B203V03  Official website of Life Insurance Corporation of India | Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi | 512B203V03 Breadcrumb Home Products Insurance Plans LICs Accident Benefit Rider 512B203V03 LICs Accident Benefit Rider Policy Document (Content | Accident Benefit Rider | Accident Benefit Rider,Policy Document (Content is in English) | Sales Brochure (Content is in English),1.0,https://licindia.in/web/guest/lic-s-accident-benefit-rider-512b203v03,2025-05-31T18:29:23.371031
LICs Premium Waiver Benefit Rider,,512B204V04,Insurance_Plans,"Rider is an Individual, Non-linked, Life Rider | In case of death of Proposer during the Rider Term, premiums payable | On survival to the end of the Rider Term, nothing shall be payable | Rider premium, including the | Rider will terminate on the earliest of: | Rider shall be refunded provided | or investment of premiums , | LICs Premium Waiver Benefit Rider is an Individual, Non-linked, Life Rider | provides for waiver of future premiums payable under | s, if opted for, other than this rider under the Base Policy, shall not",18-55 years,,Required,Regular,"On survival to the end of the Rider Term, nothing shall be payable | No maturity benefit is payable under this Rider",No surrender value will be available under this Rider 5,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"Same as the Base plan 5 | If the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement alongwith the Base Policy Document may be returned to the Corporation within 30 days from the | In case of death of Proposer during the Rider Term, premiums payable under the Base Policy falling due after the date of death till the expiry of Rider Term shall be waived | SUICIDE: - This Rider will be void if the Proposer (whether sane or insane) commits suicide anytime within 12 months from the date of commencement of this rider or within 12 months from the date of | Same as Base Policy | During the Free Look period, if the Policyholder is not satisfied with the Terms or Conditions of the Rider, heshe may return the Rider Endorsement along with the Base Policy Document within 30 days | me ans the benefit, which is payable on death, as specified in Condition 1 | under this Rider shall be provided till the date of Expiry of Rider i", Official website of Life Insurance Corporation of India | Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi | Breadcrumb Home Products Insurance Plans Riders LICs Premium Waiver Benefit Rider LICs Premium Waiver Benefit Rider Sales Brochures (Content is in English) Clo,Sales Brochures (Content is in English) | Policy Document (Content is in English),1.0,https://licindia.in/web/guest/lic-s-premium-waiver-benefit-rider,2025-05-31T18:29:31.464942
LICs Accidental Death & Disability Benefit Rider,,512B209V02,Insurance_Plans,"Toileting - the ability to use the lavatory or otherwise manage bowel and bladder functions so as to maintain a satisfactory level of personal hygiene | Eligibility Conditions and Other Restriction: | 00 per annum per thousand Accident Benefit Sum | 00 Policy Term Premium (For lives | Termination of LICs Accidental Death and Disabilty Benefit Rider: | Rider is an Individual, | Sum Assured (including LICs Jeevan Shiromani) | Sum Assured in order of date of policies issued | If the Life assured is involved in an accident at any time when this Rider is in-force, and such injury shall within 180 days of its occurrence solely, directly and independent of all other causes res | shall be payable subject to Eligibility Conditions and Other Restriction mentioned above",18-65 years,,Required,Regular,No maturity benefit is payable under this Rider | No maturity benefit is payable under this Rider,This rider shall not acquire any Paid-up Value and no Surrender Value will be available under this rider,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"Same as mentioned under the Base Policy 6 | During the Free Look period, if the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement along with Base Policy document may be returned to the Corporati | of the Base Policy and in calculating the surrender value of the Base Policy | The Corporation shall not be liable to pay the benefits as specified under Para 2 above, if the disability or the death of the Life Assured shall: (i) be caused by intent | is not applicable 7 8if the Life Assured was involved in an accident when he is not on duty or was involved in any rescue operations while combating natural calamities in our country;or (b) aris | is not applicable where the option to cover Accidental Death and Disability Benefit arising on accident while engaged in police duty, has been chosen; or (v) occur after 180 days from the date of acc | Same as mentioned under the Base Policy 4 | During the Free Look period, if the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement along with Base Policy document may be returned to the Corporatio",512B209V02  Official website of Life Insurance Corporation of India | Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi | Breadcrumb Home Products Insurance Plans LICs Accidental Death & Disability Benefit Rider 512B209V02 LICs Accidental Death & Disability Benefit Rider Sales Brochures | Disability Benefit Rider | Disability Benefit Rider,Sales Brochures (Content is in English) | Policy Document (Content is in English),1.0,https://licindia.in/web/guest/lic-s-accidental-death-disability-benefit-rider-512b209v02,2025-05-31T18:29:39.490894
LICs New Term Assurance Rider,,512B210V02,Insurance_Plans,"Term Assurance Rider Sum Assured; or | 7 times the Annualized Rider Premium; or | 105% of Total Rider Premiums Paid upto the date of | 1.25 times of Single Rider Premium. | 25 times of Single Rider Premium | Eligibility Conditions and Other Restrictions | On death of the Life Assured before the stipulated date | On survival to the end of the term of the Rider, nothing | s payable under the rider | Assured before the stipulated date",18-60 years,,Required,Regular,"On survival to the end of the term of the Rider, nothing shall be payable | No maturity benefit is payable under this Rider",of the Base Policy,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"Same as under Base Plan | If the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement alongwith Base Policy document may be returned to the Corporation within 30 days from the da | On death of the Life Assured before the stipulated date of expiry of the Rider, provided Rider along with the Base Policy is in-force, an amount equal to Term Rider Sum Assured on Death shall be | is admitted under this Rider | Suicide Claim Provision: This rider cannot be issued on stand alone basis and shall be attached with Base Plan | Same as mentioned under the Base Policy | During the Free Look period, If the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement alongwith Base Policy Document may be returned to the Corporatio | means the benefit, which is payable on death, as specified in Condition 1", Official website of Life Insurance Corporation of India | Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi | Breadcrumb Home Products Insurance Plans Riders LICs New Term Assurance Rider LICs New Term Assurance Rider Sales Brochures (Content is in English) Close Po | Term Assurance Rider | Term Assurance Rider,Sales Brochures (Content is in English) | Policy Document (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-term-assurance-rider,2025-05-31T18:29:48.557882
LICs Linked Accidental Death Benefit Rider,,512A211V02,Insurance_Plans,"This rider can be opted at any time during the term of the policy or | Under an in-force Base Policy, the policyholder has the option to cancel this rider at any time during the policy term. However, once the rider is cancelled, it cannot be re-opted during the policy te | Eligibility Conditions and Other Restrictions: | 40 per thousand Accident Benefit Sum Assured per policy year by cancelling proportionate number of units out of policyholders fund value | 80 per thousand Accident Benefit Sum Assured per policy year shall be levied | 40 per thousand Accident Benefit Sum Assured shall remain | Termination of LICs Linked Accidental Death Benefit Rider: | Rider is an Individual, Linked, Life | Sum Assured in order of date of policies issued | If the Life assured is involved in an accident at any time when this Rider",18-65 years,,Required,Regular,No maturity benefit is payable under this Rider 3 | No maturity benefit is payable under this Rider,No surrender value will be available under this Rider,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"During the Free Look period, if the policyholder is not satisfied with the Terms and Conditions of the Rider, the Rider Endorsement along with Base Policy document may be returned to the Corporatio | Rider (UIN: 512A211V02) (An Individual, Linked, Life Rider) LICs Linked Accidental Death Benefit Rider is an Individual, Linked, Life Rider This is an optional Rider for Linked policies only which | If the Life assured is involved in an accident at any time when this Rider is in-force for the full Basic Sum Assured and such injury shall within 180 days of its occurrence solely, directly and inde | rider (if opted for) and will be levied every month at the rate of Rs | Rider: The cover under LICs Linked Accidental Death Benefit Rider will terminate on the earliest of: a) On death of Life Assured | Rider (as mentioned in the Schedule) | arising on accident while engaged in police duty, has been chosen; or (v) occur after 180 days from the date of accident of the Life Assured | The Corporation will not be liable to pay the benefits as specified under Para 2 above, if the death of the Life Assured shall: (i) be caused by intentional self injury, attempted suicide, insanity", Official website of Life Insurance Corporation of India | Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi | Breadcrumb Home Products Insurance Plans LICs Linked Accidental Death Benefit Rider LICs Linked Accidental Death Benefit Rider Sales Brochures (Content is in English | Death Benefit Rider | Death Benefit Rider,Sales Brochures (Content is in English) | Policy Document (Content is in English),1.0,https://licindia.in/web/guest/lic-s-linked-accidental-death-benefit-rider,2025-05-31T18:29:55.917311
LICs New Pension Plus,867,512L347V01,Pension_Plans,"Age Eligibility: 25-75 years | Assured Death Benefit Where, | Marriage of children including legally adopted child. | Expenses incurred by the life assured for skill developmentre-skilling | Expenses incurred by the Life assured for the establishment of her | In any case the sum of original policy term and extended policy term shall | 0.50% p.a. of Unit Fund for Pension Discontinued Fund. | Guaranteed amount calculated using minimum guaranteed interest rate. | Any charges and Tax levied thereon other than Fund Management Charges | Any Guaranteed Additions added subsequent to the date of death shall be",,,Required,Regular,"(Fund Value)21,83,069 59,92,991 Annuity per annum 2,55,397 7,06,928 Net Yield 6 | s) One month before due date  Link for downloading claim form: https:licindia",", if any, shall be payable as under: If the policy is Surrendered during the 5 years Lock-in-Period: If a Policyholder applies for surrender of the policy during the 5 years Lock-in- Period, then the Unit Fund Value after deducting the applicable Discontinuance Charge shall be transferred",Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days will be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly (NACH) premiums | in Regular Premium): An amount equal to higher of the following shall be payable:  Unit Fund Value as on the date of intimation of death ; or  Assured Death Benefit Where, Assured D | , then the policy shall be in a state of discontinuance | , the policy shall be treated as in-force and the benefits payable under the policy during the grace period shall be same as that under an in-force policy | , the Unit Fund Value after deducting the applicable Discontinuance Charges as specified in Para 9 | , in case of discontinuance of a Regular Premium policy due to non-payment of premium after the 5 years lock-in period, the policy shall be converted into a reduced paid-up policy with Paid-up | under a Regular Premium policy, the policy shall be in a state of discontinuance | (in case of non-payment of contractual regular premium due during the Grace Period), whichever is earlier",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Pension Plus (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-pension-plus-867-512l347v01,2025-05-31T18:30:06.726743
LICs Jeevan Akshay-VII,857,512N337V06,Pension_Plans,"Single Premium Immediate Annuity Plan | Wide range of annuity options to suit your needs. | The annuity payments shall be made in | On death of the annuitant, the annuity | 100% of the annuity amount shall be paid in | On death of the last survivor, the annuity | For Purchase Price less than 1,50,000-, annuity rates | In case of joint life, the minimum and maximum age limits | The above minimummaximum age limits will be | Lumpsum Death Benefit: Under this option the entire",35-62 years,,Required for higher ages/sum assured,Regular,There is no maturity benefit under this policy | s) One month before due date  Link for downloading claim form : https:licindia,payable to the policyholder,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,", the proceeds from cancellation shall only be transferred back to the fund house from where the money was received | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physi | shall be available at any time after three months from the completion of policy (i | under above options, please refer to Para 3 above | Under the annuity options where the benefit is payable on death i | to the nominee(s) | Under this option the entire Purchase Price shall be payable to the nominee(s) in lumpsum | Under this option the benefit amount payable on death i",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Akshay (Content is in English),1.0,https://licindia.in/web/guest/lic-sjeevanakshay-vii-857-512n337v061,2025-05-31T18:30:22.108073
LICs New Jeevan Shanti,758,512N338V07,Pension_Plans,"Single Premium Deferred Annuity plan | Two annuity options to suit your needs | Option to take death benefit as Lump-sum, in the form of Annuitisation or | On death of the Annuitant, Death Benefit as defined below shall | The annuity payments, as per the chosen mode, shall be made in | On death of the Annuitant, the annuity payments shall cease | On death of the last survivor, Death Benefit as defined below | The annuity payments, as per the chosen mode, shall be made | On death of the last survivor, the annuity payments shall cease | Death Benefit: Death Benefit under both of the Options shall be:",30-79 years,,Required for higher ages/sum assured,Regular,There is no maturity benefit under this policy | s) One month before due date  Link for downloading claim form : https:licindia,payable to the policyholder,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,", the proceeds from cancellation shall only be transferred back to the fund house from where the money was received | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | shall only be applicable in case of new purchase of Deferred Annuity plan | as Lump-sum, in the form of Annuitisation or in Installments 2 | as defined below shall be payable to nominee(s) | as defined below shall be payable to nominee(s) | as defined below shall be payable to nominee(s) | as defined below shall be payab- le to nominee(s)",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Jeevan Shanti (Content is in English),1.0,https://licindia.in/web/guest/lic-snewjeevan-shanti-758-512n338v07,2025-05-31T18:30:35.183776
LICs Saral Pension,862,512N342V05,Pension_Plans,"This is a Standard Immediate Annuity plan as per the | The Policyholder has an option to choose type of annuity | The annuity rates are guaranteed at the inception of the | The annuity payments shall be made in ar - | The annuity amount shall be paid in | Mode of Annuity payment: | Benefits payable under above options are: | Option I  The annuity payments shall be made in ar - | or investment of premiums, refund of | Age is the age last birthday of the Annuitant(s) on the date of commencement of the policy",40-80 years,,Required for higher ages/sum assured,Regular,There is no maturity benefit under this policy | s) One month before due date  Link for downloading claim form : https:licindia,LICs Saral Pension (UIN: 512N342V05) Page 6 of 22 payable to the policyholder,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | under above options, please refer to Para 3 above | We would request you to go through the terms and conditions of the Policy and in case you disagree to any of the terms and conditions, you may return the Policy within a period of 30 days from the da | is the period of 30 days from the date of receipt of the electronic or physical mode of Policy Document, whichever is earlier, by the Policyholder to review the terms and conditions of this policy a | a) This is an option to review the Policy following receipt of Policy Document | of 30 days from the date of receipt of the electronic or physical mode of the Policy Document, whichever is earlier,to review the terms and conditions of the policy and where the policyholder disag | , but without interest, to the personpersons to whom the same is  are therein expressed to be payable upon proof to the satisfaction of the Corporation being furnished, in respect of each Annuity | is to become payable as set out in this Policy Document and the title of the personpersons claiming to receive the Annuity Death Benefit",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Saral Pension (Content is in English),1.0,https://licindia.in/web/guest/lic-s-saral-pension,2025-05-31T18:30:48.058533
LICs Smart Pension,879,512N386V01,Pension_Plans,"Single Premium Immediate Annuity Plan | Wide range of annuity options to suit your needs | Flexibility to choose from Single Life Annuity and Joint Life | Mode of Annuity payments - yearly, half-yearly, quarterly | Options available for payment of Death Benefit (if any): | However, the minimum age at entry re- | Annuity payments shall be made | The annuity payments shall in - | In case the sum of all annuity pay - | In addition to the annuity pay -",40-70 years,,Required for higher ages/sum assured,Regular,There is no maturity benefit under this plan | s) One month before due date  Link for downloading claim form : https:licindia,payable to the policyholder,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | shall only be applicable in case of new purchase of Immediate Annuity plan | shall also be further subject to specific provisions of PFRDA or HMRC, as applicable | shall be available at any time after three months from the completion of policy (i | (if any): o Lumpsum Death Benefit o Annuitisation of Death Benefit o In installments 32 | Benefits payable on survival or on death of the Annuitant(s) under applicable Annuity Options shall be as under: 6Annuity Option Benefits Option ALife annuity Annuity payments shall be made in arr | equal to Balance of the Purchase Price i | equal to Purchase Price Less Early Return of Purchase Price already paid till the date of death, if any, shall be payable to the nominee(s)",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Smart Pension (Content is in English),1.0,https://licindia.in/web/guest/lic-s-smart-pension,2025-05-31T18:31:01.204868
LICs Index Plus,873,512L354V01,Unit_Linked_Plans,"Option to enhance coverage by opting for LICs Linked Accident | Basic Sum Assured reduced by Partial Withdrawals, | 105% of the total premiums received upto the date | Basic Sum Assured in case of in-force policies or Paid- | 105% of total Premium Received | Paid up Sum Assured reduced by Partial Withdrawal, | 105% of total premiums received excluding Partial | Guaranteed amount calculated using minimum | Any Guaranteed Additions added subsequent to the | Eligibility conditions and other restrictions:",,,Required,Regular,"On Life Assured surviving the date of maturity, an amount equal to Unit Fund Value as on date of maturity shall be payable | NAV of the date of maturity | (Fund Value)32,61,345 56,78,503 Net Yield: 6 | means the benefit, which is payable on maturity as stated in this Policy Document | On the Life Assured surviving the stipulated Date of Maturity, an amount equal to the Unit Fund Value as on date of maturity shall be payable | NAV of the date of maturity |  On Life Assured surviving the stipulated Date of Maturity, an amount equal to Unit Fund Value as on date of Maturity shall be payable",", if any, shall be payable as under: If the policy is Surrendered during the 5 years Lock-in-Period: If a Policyholder applies for surrender of the policy during the 5 years Lock-in- Period, then the Unit Fund Value after deducting the applicable Discontinuance Charge shall be transferred",Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"), provided policy is in-force, then On death of Life Assured before the Date of Commencement of Risk: An amount equal to the Unit Fund Value as on date of intimation of death shall be payable | A grace period of 30 days will be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly (NACH) premiums from the date of first unpaid premium | (in case of non-payment of contractual premium due during the Grace period), whichever is earlier | , then the policy shall be in a state of discontinuance | the policy shall be treated as in- force and the benefits payable under the policy during the grace period shall be same as that under an in-force policy | , the Unit Fund Value after deducting the applicable Discontinuance Charge as specified in Para 9 | , in case of discontinuance of policy due to non payment of premium, the policy shall be converted into a reduced paid-up policy | , the policy shall be in a state of discontinuance",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Index Plus (Content is in English),1.0,https://licindia.in/web/guest/lic-s-index-plus-873-512l354v01,2025-05-31T18:31:21.513046
LICs Nivesh Plus,749,512L317V02,Unit_Linked_Plans,"Option to enhance coverage by opting for LICs Linked Accident Benefit Rider. | Basic Sum Assured less Partial Withdrawals, if any made during the two years | 1.35% p.a. of Unit Fund for all the four Funds available i.e. Bond Fund, Secured | 25 or 10 times of Single Premium subject to Age at entry as | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS | 25 times of the single premium | BENEFITS PAYABLE UNDER THE POLICY | 25 times of Single Premium; | 40 per thousand Accident Benefit Sum Assured | 20 per thousand Basic Sum Assured and Accident Benefit",,,Required,Regular,"On Life Assured surviving the date of maturity, an amount equal to Unit Fund Value as on the date of Maturity shall be payable | NAV of the date of maturity | shall be as given below: Rate of investment @ 4 % p | shall be as given below: Rate of investment @ 4 % p | means the benefit, which is payable on maturity as stated in this Policy Document | On the Life Assured surviving the stipulated Date of Maturity, an amount equal to the Unit Fund Value as on date of maturity shall become payable | NAV of the Date of Maturity",", if any, shall be payable as under: If the policy is Surrendered during the 5 years Lock-in-Period: If a Policyholder applies for surrender of the policy during the 5 years Lock-in- Period, then the Unit Fund Value after deducting the applicable Discontinuance Charge shall be transferred",Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"If you are not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physical mode of t | s either in lump sum or in instalments | On death before the Date of Commencement of Risk: An amount equal to the Unit Fund Value as on date of intimation of death shall be payable | shall be paid either in lump sum as specified above or in instalments, if Settlement Option is opted for, as mentioned in Para 4 | Rider (UIN: 512A211V02) | under the base plan | in instalments | Rider ( is opted for): Accident Benefit Charge is the cost of Accident Benefit cover, if LICs Linked Accidental Death Benefit Rider(if opted for)",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Nivesh Plus (Content is in English),1.0,https://licindia.in/web/guest/lic-s-nivesh-plus,2025-05-31T18:31:37.646675
LICs SIIP,752,512L334V02,Unit_Linked_Plans,"Option to enhance coverage by opting for LICs Linked | Basic Sum Assured reduced by Partial Withdrawals, | 105% of the total premiums received upto the date of | Basic Sum Assured in case of in-force policies | 105% of total Premium Received | Paid up Sum Assured reduced by Partial Withdrawal, | 105% of total premiums received excluding Partial | If Life Assured commits suicide, within 12 months from | Any Guaranteed Additions added subsequently to the | Eligibility conditions and other restrictions:",,,Required,Regular,"On Life Assured surviving the date of maturity, an amount equal to Unit Fund Value as on the date of maturity shall be payable | NAV of the date of maturity | (Fund Value) 10,24,189 14,20,867 Net Yield 6 | means the benefit, which is payable on maturity as stated in this Policy Document | On the Life Assured surviving the stipulated Date of Maturity, an amount equal to the Unit Fund Value as on the date of maturity shall be payable | NAV of the date of maturity | On the Life Assured surviving the stipulated Date of Maturity, an amount equal to the Unit Fund Value as on date of maturity shall become payable",", if any, shall be payable as under: If the policy is Surrendered during the 5 years Lock-in-Period: If a Policyholder applies for surrender of the policy during the 5 years Lock-in- Period, then the Unit Fund Value after deducting the applicable Discontinuance Charge shall be transferred",Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"), provided policy is in-force, then On death of the Life Assured before the Date of Com- mencement of Risk: An amount equal to the Unit Fund Value as on date of intimation of death shall be payabl | A grace period of 30 days will be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly (NACH) premiums from the date of first unpaid premium | (in case of non-payment of contractual premium due during the Grace period), whichever is earlier | , then the policy shall be in a state of discontinuance | the policy shall be treated as in- force and the charges for Mortality and Accident Benefit 22cover, if any, shall be deducted in addition to other applicable charges | shall be same as that under an inforce policy, except Partial Withdrawal, which shall not be allowed if all due premiums have not been paid | , the Unit Fund Value after deducting the applicable Discontinuance Charge as specified in Para 9 | , in case of discontinuance of policy due to non-payment of premium, the policy shall be converted into a reduced paid-up policy",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs SIIP (Content is in English),1.0,https://licindia.in/web/guest/lic-s-siip,2025-05-31T18:31:49.105262
